symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1017,2021-06-30,410.00,414.00,408.00,412.00,0.49,"23,693.00","9,712,781.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1018,2021-06-29,419.00,419.00,410.00,410.00,-0.73,"28,686.00","11,867,310.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1019,2021-06-28,420.00,421.00,411.00,413.00,-0.48,"24,057.00","9,991,469.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1020,2021-06-27,410.00,421.00,404.00,415.00,1.22,"46,675.00","19,293,760.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1021,2021-06-24,410.00,413.00,406.00,410.00,0.00,"46,659.00","19,146,625.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1022,2021-06-23,413.00,419.00,408.00,410.00,-1.91,"41,732.00","17,160,123.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1023,2021-06-22,409.00,421.00,407.00,418.00,2.70,"46,011.00","19,017,871.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1024,2021-06-21,412.00,418.00,406.00,407.00,-1.93,"57,222.00","23,398,253.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1025,2021-06-20,422.00,422.00,412.00,415.00,-1.66,"95,522.00","39,693,504.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1026,2021-06-17,452.00,452.00,421.00,422.00,-2.09,"56,526.00","24,010,104.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1027,2021-06-16,427.00,438.00,426.00,431.00,0.94,"125,930.00","54,499,005.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1028,2021-06-15,440.00,445.00,427.00,427.00,-1.39,"97,663.00","42,396,129.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1029,2021-06-14,415.00,442.00,415.00,433.00,4.34,"268,473.00","115,461,568.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1030,2021-06-13,420.00,420.00,412.00,415.00,-0.24,"67,430.00","27,948,241.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1031,2021-06-10,416.00,423.00,413.00,416.00,-1.19,"54,711.00","22,749,573.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1032,2021-06-09,430.00,432.00,420.00,421.00,-0.71,"50,091.00","21,224,534.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1033,2021-06-08,425.00,430.00,420.00,424.00,0.47,"113,779.00","48,403,777.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1034,2021-06-07,435.00,437.00,420.00,422.00,-1.63,"108,410.00","46,045,556.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1035,2021-06-06,425.00,438.00,424.00,429.00,3.13,"265,933.00","114,689,843.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1036,2021-06-03,413.00,419.00,407.00,416.00,1.96,"116,726.00","48,334,459.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1037,2021-06-02,410.00,410.00,404.00,408.00,0.25,"58,676.00","23,811,204.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1038,2021-06-01,405.00,410.00,405.00,407.00,-0.25,"37,019.00","15,068,798.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1039,2021-05-31,417.00,417.00,408.00,408.00,-0.49,"64,680.00","26,538,956.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1040,2021-05-30,412.00,419.00,409.00,410.00,-0.24,"57,280.00","23,543,945.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1041,2021-05-27,413.00,417.00,407.00,411.00,-0.48,"32,951.00","13,545,671.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1042,2021-05-25,421.00,422.00,410.00,413.00,-1.90,"35,727.00","14,840,590.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1043,2021-05-24,397.00,437.00,397.00,421.00,0.96,"99,210.00","42,086,148.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1044,2021-05-23,412.00,417.00,402.00,417.00,0.72,"43,845.00","18,122,224.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1045,2021-05-20,410.00,417.00,408.00,414.00,1.22,"46,047.00","18,960,271.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1046,2021-05-19,402.00,416.00,402.00,409.00,2.00,"59,847.00","24,585,958.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1047,2021-05-18,400.00,404.00,399.00,401.00,0.50,"44,672.00","17,895,769.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1048,2021-05-17,400.00,408.00,398.00,399.00,0.00,"35,962.00","14,427,283.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1049,2021-05-16,404.00,404.00,395.00,399.00,0.50,"60,652.00","24,146,527.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1050,2021-05-13,396.00,399.00,396.00,397.00,0.00,"22,234.00","8,813,638.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1051,2021-05-12,397.00,402.00,393.00,397.00,0.51,"20,675.00","8,178,145.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1052,2021-05-11,396.00,404.00,390.00,395.00,-0.25,"49,566.00","19,579,857.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1053,2021-05-10,395.00,398.00,395.00,396.00,0.00,"10,973.00","4,348,629.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1054,2021-05-09,393.00,401.00,393.00,396.00,0.76,"22,825.00","9,044,105.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1055,2021-05-06,394.00,395.00,392.00,393.00,-0.51,"26,405.00","10,372,381.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1056,2021-05-05,393.00,400.00,393.00,395.00,-0.50,"22,289.00","8,811,823.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1057,2021-05-04,403.00,403.00,395.00,397.00,-0.25,"13,737.00","5,447,101.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1058,2021-05-03,405.00,405.00,396.00,398.00,-0.50,"21,198.00","8,452,435.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1059,2021-05-02,400.00,400.00,395.00,400.00,0.76,"23,761.00","9,454,892.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1060,2021-04-29,395.00,400.00,392.00,397.00,0.76,"18,246.00","7,249,481.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1061,2021-04-28,400.00,401.00,393.00,394.00,-2.48,"33,638.00","13,335,418.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1062,2021-04-27,399.00,423.00,396.00,404.00,1.76,"21,190.00","8,517,107.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1063,2021-04-26,406.00,406.00,397.00,397.00,-1.98,"37,147.00","14,810,413.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1064,2021-04-25,410.00,410.00,405.00,405.00,-1.22,"23,822.00","9,674,550.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1065,2021-04-22,413.00,413.00,409.00,410.00,-0.73,"28,524.00","11,697,839.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1066,2021-04-21,415.00,416.00,412.00,413.00,-0.48,"27,381.00","11,321,522.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1067,2021-04-20,417.00,419.00,415.00,415.00,-0.95,"31,684.00","13,193,271.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1068,2021-04-19,418.00,420.00,416.00,419.00,-0.95,"14,655.00","6,121,135.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1069,2021-04-18,435.00,435.00,419.00,423.00,-2.08,"34,253.00","14,528,172.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1070,2021-04-15,425.00,435.00,421.00,432.00,2.61,"75,234.00","32,380,344.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1071,2021-04-13,417.00,422.00,412.00,421.00,1.69,"61,001.00","25,476,824.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1072,2021-04-12,413.00,414.00,407.00,414.00,0.24,"22,439.00","9,256,684.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1073,2021-04-08,420.00,420.00,409.00,413.00,0.24,"20,220.00","8,332,213.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1074,2021-04-07,410.00,415.00,410.00,412.00,0.00,"13,194.00","5,433,286.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1075,2021-04-06,414.00,418.00,409.00,412.00,-0.48,"25,005.00","10,294,179.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1076,2021-04-05,427.00,427.00,411.00,414.00,-1.90,"16,410.00","6,812,539.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1077,2021-04-04,424.00,425.00,413.00,422.00,0.48,"31,643.00","13,249,415.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1078,2021-04-01,418.00,421.00,411.00,420.00,2.44,"82,973.00","34,542,092.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1079,2021-03-31,410.00,423.00,407.00,410.00,0.99,"50,758.00","20,996,530.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1080,2021-03-30,406.00,407.00,403.00,406.00,0.00,"21,615.00","8,756,679.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1081,2021-03-29,408.00,410.00,404.00,406.00,-0.73,"18,220.00","7,413,246.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1082,2021-03-25,410.00,411.00,408.00,409.00,-0.24,"32,677.00","13,372,491.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1083,2021-03-24,410.00,414.00,408.00,410.00,0.24,"38,474.00","15,784,216.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1084,2021-03-23,410.00,411.00,407.00,409.00,-0.24,"18,670.00","7,625,908.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1085,2021-03-22,421.00,421.00,410.00,410.00,-0.73,"23,706.00","9,739,327.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1086,2021-03-21,408.00,431.00,408.00,413.00,1.23,"32,122.00","13,218,802.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1087,2021-03-18,407.00,413.00,407.00,408.00,0.49,"11,474.00","4,704,304.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1088,2021-03-17,413.00,413.00,405.00,406.00,0.25,"12,005.00","4,884,076.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1089,2021-03-16,410.00,413.00,401.00,405.00,0.00,"28,245.00","11,456,091.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1090,2021-03-15,403.00,410.00,403.00,405.00,-0.25,"13,178.00","5,358,281.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1091,2021-03-14,409.00,411.00,402.00,406.00,-0.73,"23,240.00","9,440,088.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1092,2021-03-10,417.00,417.00,408.00,409.00,-0.49,"10,612.00","4,356,973.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1093,2021-03-09,418.00,418.00,410.00,411.00,-1.44,"31,650.00","13,069,568.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1094,2021-03-07,419.00,420.00,411.00,417.00,-0.48,"15,500.00","6,458,174.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1095,2021-03-04,420.00,421.00,412.00,419.00,0.48,"26,254.00","10,972,386.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1096,2021-03-03,428.00,428.00,409.00,417.00,-0.71,"26,690.00","11,006,658.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1097,2021-03-02,425.00,425.00,413.00,420.00,-0.47,"37,949.00","15,836,032.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1098,2021-03-01,415.00,425.00,415.00,422.00,0.48,"23,508.00","9,894,480.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1099,2021-02-28,427.00,429.00,419.00,420.00,-2.10,"76,641.00","32,331,767.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1100,2021-02-25,439.00,439.00,424.00,429.00,-1.61,"42,281.00","18,055,697.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1101,2021-02-24,455.00,455.00,430.00,436.00,0.46,"26,410.00","11,521,268.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1102,2021-02-23,430.00,442.00,424.00,434.00,-0.91,"24,941.00","10,720,001.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1103,2021-02-22,463.00,463.00,436.00,438.00,-2.67,"46,423.00","20,495,417.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1104,2021-02-21,455.00,463.00,447.00,450.00,-1.10,"72,554.00","32,957,673.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1105,2021-02-18,450.00,460.00,447.00,455.00,1.56,"113,213.00","51,386,104.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1106,2021-02-17,430.00,465.00,429.00,448.00,2.99,"138,431.00","60,899,510.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1107,2021-02-16,453.00,453.00,432.00,435.00,0.69,"119,411.00","52,380,903.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1108,2021-02-15,430.00,438.00,428.00,432.00,0.47,"52,494.00","22,722,080.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1109,2021-02-14,440.00,440.00,423.00,430.00,-1.15,"57,351.00","24,622,354.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1110,2021-02-11,441.00,441.00,428.00,435.00,0.23,"61,977.00","26,755,805.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1111,2021-02-10,453.00,453.00,425.00,434.00,0.46,"24,163.00","10,416,062.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1112,2021-02-09,436.00,439.00,428.00,432.00,0.93,"45,997.00","19,851,710.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1113,2021-02-08,443.00,443.00,420.00,428.00,1.42,"56,077.00","23,986,449.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1114,2021-02-07,430.00,430.00,418.00,422.00,0.00,"61,664.00","25,943,195.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1115,2021-02-04,438.00,438.00,422.00,422.00,-1.86,"41,417.00","17,608,591.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1116,2021-02-03,435.00,437.00,425.00,430.00,0.23,"57,425.00","24,648,394.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1117,2021-02-02,428.00,431.00,422.00,429.00,1.90,"56,924.00","24,205,270.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1118,2021-02-01,428.00,434.00,418.00,421.00,0.24,"27,025.00","11,444,183.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1119,2021-01-31,430.00,437.00,420.00,420.00,-4.11,"42,514.00","18,161,177.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1120,2021-01-28,445.00,446.00,434.00,438.00,-1.79,"75,932.00","33,214,444.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1121,2021-01-27,468.00,468.00,441.00,446.00,0.00,"89,624.00","40,176,360.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1122,2021-01-26,447.00,455.00,440.00,446.00,-0.22,"71,925.00","32,316,476.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1123,2021-01-25,447.00,453.00,439.00,447.00,0.45,"86,106.00","38,544,611.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1124,2021-01-24,462.00,462.00,440.00,445.00,1.14,"61,663.00","27,587,314.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1125,2021-01-21,442.00,459.00,436.00,440.00,-0.45,"42,776.00","18,911,356.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1126,2021-01-20,424.00,452.00,424.00,442.00,-0.90,"41,214.00","18,325,428.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1127,2021-01-19,448.00,452.00,437.00,446.00,-0.67,"67,283.00","29,858,903.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1128,2021-01-18,455.00,462.00,449.00,449.00,-0.88,"43,175.00","19,588,014.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1129,2021-01-17,466.00,470.00,450.00,453.00,-2.79,"61,837.00","28,234,477.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1130,2021-01-13,491.00,491.00,463.00,466.00,-3.72,"93,017.00","43,908,328.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1131,2021-01-12,460.00,485.00,450.00,484.00,5.91,"119,594.00","55,870,834.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1132,2021-01-11,439.00,468.00,439.00,457.00,4.82,"205,247.00","93,988,937.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1133,2021-01-10,425.00,442.00,421.00,436.00,3.32,"182,391.00","78,996,623.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1134,2021-01-07,416.00,426.00,415.00,422.00,0.24,"82,189.00","34,698,464.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1135,2021-01-06,420.00,421.00,416.00,421.00,0.96,"56,120.00","23,536,622.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1136,2021-01-05,421.00,421.00,410.00,417.00,0.24,"26,521.00","11,024,304.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1137,2021-01-04,428.00,430.00,411.00,416.00,-0.95,"42,720.00","18,084,599.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1138,2021-01-03,427.00,427.00,412.00,420.00,3.19,"84,299.00","35,329,126.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1139,2020-12-31,406.00,425.00,393.00,407.00,5.17,"93,964.00","38,360,990.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1140,2020-12-30,392.00,399.00,385.00,387.00,0.52,"29,408.00","11,436,660.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1141,2020-12-29,430.00,430.00,407.00,408.00,-0.49,"49,368.00","20,271,658.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1142,2020-12-28,407.00,412.00,407.00,410.00,-0.97,"14,681.00","6,011,813.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1143,2020-12-27,427.00,427.00,409.00,414.00,-1.19,"21,932.00","9,023,570.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1144,2020-12-24,420.00,430.00,414.00,419.00,0.72,"42,471.00","17,884,480.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1145,2020-12-23,420.00,422.00,410.00,416.00,-0.24,"51,638.00","21,502,821.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1146,2020-12-22,416.00,419.00,408.00,417.00,1.71,"47,786.00","19,694,315.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1147,2020-12-21,402.00,415.00,391.00,410.00,0.00,"36,532.00","14,704,066.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1148,2020-12-20,427.00,427.00,405.00,410.00,-2.84,"55,889.00","22,884,815.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1149,2020-12-17,428.00,428.00,420.00,422.00,-0.24,"27,475.00","11,629,463.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1150,2020-12-16,450.00,450.00,421.00,423.00,-1.40,"18,609.00","7,897,468.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1151,2020-12-15,438.00,438.00,423.00,429.00,-0.23,"28,445.00","12,127,202.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1152,2020-12-14,432.00,444.00,422.00,430.00,1.42,"44,423.00","18,995,183.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1153,2020-12-13,412.00,427.00,412.00,424.00,0.95,"26,947.00","11,336,383.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1154,2020-12-10,407.00,420.00,406.00,420.00,2.44,"34,694.00","14,378,136.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1155,2020-12-09,415.00,418.00,407.00,410.00,-2.15,"57,122.00","23,476,088.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1156,2020-12-08,430.00,430.00,413.00,419.00,-1.18,"50,135.00","20,997,951.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1157,2020-12-07,425.00,433.00,415.00,424.00,1.44,"28,907.00","12,135,933.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1158,2020-12-06,424.00,433.00,418.00,418.00,-3.24,"49,283.00","20,751,807.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1159,2020-12-03,440.00,441.00,432.00,432.00,-1.82,"38,255.00","16,673,975.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1160,2020-12-02,440.00,441.00,437.00,440.00,0.00,"32,024.00","14,067,812.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1161,2020-12-01,442.00,454.00,435.00,440.00,-2.00,"52,193.00","22,987,328.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1162,2020-11-30,488.00,488.00,446.00,449.00,-3.44,"86,123.00","39,584,699.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1163,2020-11-29,438.00,470.00,438.00,465.00,8.14,"154,712.00","69,931,996.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1164,2020-11-26,439.00,439.00,420.00,430.00,2.63,"113,083.00","48,783,137.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1165,2020-11-25,392.00,438.00,392.00,419.00,1.70,"50,557.00","21,228,104.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1166,2020-11-24,415.00,418.00,410.00,412.00,-0.72,"39,268.00","16,267,967.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1167,2020-11-23,421.00,421.00,414.00,415.00,-1.19,"68,919.00","28,654,285.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1168,2020-11-22,418.00,431.00,413.00,420.00,-0.47,"70,709.00","29,875,490.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1169,2020-11-19,416.00,422.00,415.00,422.00,1.69,"44,067.00","18,413,562.00"
sbi,Nepal SBI Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbi,1170,2020-11-18,420.00,421.00,412.00,415.00,-3.04,"41,098.00","17,060,229.00"
